RNumber,VariableTitle,Year,VariableName,Units,LabelShort,LabelLong,MissingCodes
R0323900,# DAYS/WK TYP FAM RELIGIOUS 1997,1997,famrel,days,Religious activity,How many time a week family does something religious?,
R2165200,# DAYS/WK TYP FAM RELIGIOUS 1998,1998,famrel,days,,,
R3483100,# DAYS/WK TYP FAM RELIGIOUS 1999,1999,famrel,days,,,
R4881300,# DAYS/WK TYP FAM RELIGIOUS 2000,2000,famrel,days,,,
S2977900,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2003,2003,internet,yes/no,,,
S4676700,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2004,2004,internet,yes/no,,,
S6308900,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2005,2005,internet,yes/no,,,
S8329800,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2006,2006,internet,yes/no,,,
T0737600,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2007,2007,internet,yes/no,,,
T2779700,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2008,2008,internet,yes/no,,,
T4494400,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2009,2009,internet,yes/no,,,
T6141400,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2010,2010,internet,yes/no,,,
T7635300,CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2011,2011,internet,yes/no,,,
R1193900,CV_AGE(MONTHS)_INT_DATE 1997,1997,agemon,months,age at interview,Age in month  at the time of the interview,
R2553400,CV_AGE(MONTHS)_INT_DATE 1998,1998,agemon,months,,,
R3876200,CV_AGE(MONTHS)_INT_DATE 1999,1999,agemon,months,,,
R5453600,CV_AGE(MONTHS)_INT_DATE 2000,2000,agemon,months,,,
R7215900,CV_AGE(MONTHS)_INT_DATE 2001,2001,agemon,months,,,
S1531300,CV_AGE(MONTHS)_INT_DATE 2002,2002,agemon,months,,,
S2000900,CV_AGE(MONTHS)_INT_DATE 2003,2003,agemon,months,,,
S3801000,CV_AGE(MONTHS)_INT_DATE 2004,2004,agemon,months,,,
S5400900,CV_AGE(MONTHS)_INT_DATE 2005,2005,agemon,months,,,
S7501100,CV_AGE(MONTHS)_INT_DATE 2006,2006,agemon,months,,,
T0008400,CV_AGE(MONTHS)_INT_DATE 2007,2007,agemon,months,,,
T2011000,CV_AGE(MONTHS)_INT_DATE 2008,2008,agemon,months,,,
T3601400,CV_AGE(MONTHS)_INT_DATE 2009,2009,agemon,months,,,
T5201300,CV_AGE(MONTHS)_INT_DATE 2010,2010,agemon,months,,,
T6651200,CV_AGE(MONTHS)_INT_DATE 2011,2011,agemon,months,,,
R1194100,CV_AGE_INT_DATE 1997,1997,ageyear,,,,
R2553500,CV_AGE_INT_DATE 1998,1998,ageyear,,,,
R3876300,CV_AGE_INT_DATE 1999,1999,ageyear,,,,
R5453700,CV_AGE_INT_DATE 2000,2000,ageyear,,,,
R7216000,CV_AGE_INT_DATE 2001,2001,ageyear,,,,
S1531400,CV_AGE_INT_DATE 2002,2002,ageyear,,,,
S2001000,CV_AGE_INT_DATE 2003,2003,ageyear,,,,
S3801100,CV_AGE_INT_DATE 2004,2004,ageyear,,,,
S5401000,CV_AGE_INT_DATE 2005,2005,ageyear,,,,
S7501200,CV_AGE_INT_DATE 2006,2006,ageyear,,,,
T0008500,CV_AGE_INT_DATE 2007,2007,ageyear,,,,
T2011100,CV_AGE_INT_DATE 2008,2008,ageyear,,,,
T3601500,CV_AGE_INT_DATE 2009,2009,ageyear,,,,
T5201400,CV_AGE_INT_DATE 2010,2010,ageyear,,,,
T6651300,CV_AGE_INT_DATE 2011,2011,ageyear,,,,
R1235800,CV_SAMPLE_TYPE 1997,1997,sample,,,,
S0919700,GOD NOTHING TO DO HAPPENS TO R 2002,2002,todo,,,,
S6317100,GOD NOTHING TO DO HAPPENS TO R 2005,2005,todo,,,,
T2782200,GOD NOTHING TO DO HAPPENS TO R 2008,2008,todo,,,,
T7637800,GOD NOTHING TO DO HAPPENS TO R 2011,2011,todo,,,,
R4893900,HOW OFT R BEEN HAPPY PERSON 2000,2000,happy,,,,
S0921100,HOW OFT R BEEN HAPPY PERSON 2002,2002,happy,,,,
S4682200,HOW OFT R BEEN HAPPY PERSON 2004,2004,happy,,,,
S8332600,HOW OFT R BEEN HAPPY PERSON 2006,2006,happy,,,,
T2782900,HOW OFT R BEEN HAPPY PERSON 2008,2008,happy,,,,
T6144000,HOW OFT R BEEN HAPPY PERSON 2010,2010,happy,,,,
R4893600,HOW OFT R BEEN NERVOUS PERSON 2000,2000,nervous,,,,
S0920800,HOW OFT R BEEN NERVOUS PERSON 2002,2002,nervous,,,,
S4681900,HOW OFT R BEEN NERVOUS PERSON 2004,2004,nervous,,,,
S8332300,HOW OFT R BEEN NERVOUS PERSON 2006,2006,nervous,,,,
T2782600,HOW OFT R BEEN NERVOUS PERSON 2008,2008,nervous,,,,
T6143700,HOW OFT R BEEN NERVOUS PERSON 2010,2010,nervous,,,,
R4893700,HOW OFT R CALM/PEACEFUL PAST MO 2000,2000,calm,,,,
S0920900,HOW OFT R CALM/PEACEFUL PAST MO 2002,2002,calm,,,,
S4682000,HOW OFT R CALM/PEACEFUL PAST MO 2004,2004,calm,,,,
S8332400,HOW OFT R CALM/PEACEFUL PAST MO 2006,2006,calm,,,,
T2782700,HOW OFT R CALM/PEACEFUL PAST MO 2008,2008,calm,,,,
T6143800,HOW OFT R CALM/PEACEFUL PAST MO 2010,2010,calm,,,,
R4894000,HOW OFT R DEPRESSED LAST MONTH 2000,2000,depressed,,,,
S0921200,HOW OFT R DEPRESSED LAST MONTH 2002,2002,depressed,,,,
S4682300,HOW OFT R DEPRESSED LAST MONTH 2004,2004,depressed,,,,
S8332700,HOW OFT R DEPRESSED LAST MONTH 2006,2006,depressed,,,,
T2783000,HOW OFT R DEPRESSED LAST MONTH 2008,2008,depressed,,,,
T6144100,HOW OFT R DEPRESSED LAST MONTH 2010,2010,depressed,,,,
R4893800,HOW OFT R FELT DOWN OR BLUE 2000,2000,blue,,,,
