"RNUM","VARIABLE_TITLE"
"1","R0323900","# DAYS/WK TYP FAM RELIGIOUS 1997"
"2","R2165200","# DAYS/WK TYP FAM RELIGIOUS 1998"
"3","R3483100","# DAYS/WK TYP FAM RELIGIOUS 1999"
"4","R4881300","# DAYS/WK TYP FAM RELIGIOUS 2000"
"5","S2977900","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2003"
"6","S4676700","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2004"
"7","S6308900","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2005"
"8","S8329800","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2006"
"9","T0737600","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2007"
"10","T2779700","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2008"
"11","T4494400","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2009"
"12","T6141400","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2010"
"13","T7635300","CURRENTLY HAVE ACCESS TO INTERNET? (SAQ) 2011"
"14","R1193900","CV_AGE(MONTHS)_INT_DATE 1997"
"15","R2553400","CV_AGE(MONTHS)_INT_DATE 1998"
"16","R3876200","CV_AGE(MONTHS)_INT_DATE 1999"
"17","R5453600","CV_AGE(MONTHS)_INT_DATE 2000"
"18","R7215900","CV_AGE(MONTHS)_INT_DATE 2001"
"19","S1531300","CV_AGE(MONTHS)_INT_DATE 2002"
"20","S2000900","CV_AGE(MONTHS)_INT_DATE 2003"
"21","S3801000","CV_AGE(MONTHS)_INT_DATE 2004"
"22","S5400900","CV_AGE(MONTHS)_INT_DATE 2005"
"23","S7501100","CV_AGE(MONTHS)_INT_DATE 2006"
"24","T0008400","CV_AGE(MONTHS)_INT_DATE 2007"
"25","T2011000","CV_AGE(MONTHS)_INT_DATE 2008"
"26","T3601400","CV_AGE(MONTHS)_INT_DATE 2009"
"27","T5201300","CV_AGE(MONTHS)_INT_DATE 2010"
"28","T6651200","CV_AGE(MONTHS)_INT_DATE 2011"
"29","R1194100","CV_AGE_INT_DATE 1997"
"30","R2553500","CV_AGE_INT_DATE 1998"
"31","R3876300","CV_AGE_INT_DATE 1999"
"32","R5453700","CV_AGE_INT_DATE 2000"
"33","R7216000","CV_AGE_INT_DATE 2001"
"34","S1531400","CV_AGE_INT_DATE 2002"
"35","S2001000","CV_AGE_INT_DATE 2003"
"36","S3801100","CV_AGE_INT_DATE 2004"
"37","S5401000","CV_AGE_INT_DATE 2005"
"38","S7501200","CV_AGE_INT_DATE 2006"
"39","T0008500","CV_AGE_INT_DATE 2007"
"40","T2011100","CV_AGE_INT_DATE 2008"
"41","T3601500","CV_AGE_INT_DATE 2009"
"42","T5201400","CV_AGE_INT_DATE 2010"
"43","T6651300","CV_AGE_INT_DATE 2011"
"44","R1235800","CV_SAMPLE_TYPE 1997"
"45","S0919700","GOD NOTHING TO DO HAPPENS TO R 2002"
"46","S6317100","GOD NOTHING TO DO HAPPENS TO R 2005"
"47","T2782200","GOD NOTHING TO DO HAPPENS TO R 2008"
"48","T7637800","GOD NOTHING TO DO HAPPENS TO R 2011"
"49","R4893900","HOW OFT R BEEN HAPPY PERSON 2000"
"50","S0921100","HOW OFT R BEEN HAPPY PERSON 2002"
"51","S4682200","HOW OFT R BEEN HAPPY PERSON 2004"
"52","S8332600","HOW OFT R BEEN HAPPY PERSON 2006"
"53","T2782900","HOW OFT R BEEN HAPPY PERSON 2008"
"54","T6144000","HOW OFT R BEEN HAPPY PERSON 2010"
"55","R4893600","HOW OFT R BEEN NERVOUS PERSON 2000"
"56","S0920800","HOW OFT R BEEN NERVOUS PERSON 2002"
"57","S4681900","HOW OFT R BEEN NERVOUS PERSON 2004"
"58","S8332300","HOW OFT R BEEN NERVOUS PERSON 2006"
"59","T2782600","HOW OFT R BEEN NERVOUS PERSON 2008"
"60","T6143700","HOW OFT R BEEN NERVOUS PERSON 2010"
"61","R4893700","HOW OFT R CALM/PEACEFUL PAST MO 2000"
